text,aspect,cleaned_text,cleaned_aspect,label
can you check whether its cancelled completely?,cancelled,can you check whether its cancelled completely,cancelled,1
cannot rely on both milk delivery and grocery items.,Milk,cannot rely on both milk delivery and grocery items,Milk,0
"I get no notification, however the app is really fine",notification,I get no notification however the app is really fine,notification,0
"Love this app, but would love it even more if Gantt charts and Calendar view were available on iPhone!",view,Love this app but would love it even more if Gantt charts and Calendar view were available on iPhone,view,1
it does not let me load a clip on the scene,load,it does not let me load a clip on the scene,load,0
"i love notion as a tool, but the mobile just takes way too long to load.","tool,",i love notion as a tool but the mobile just takes way too long to load,tool,2
unlimited yearly at $216/year,yearly,unlimited yearly at 216year,yearly,1
"some times missing to deliver, some times different orders are delivered.","deliver,",some times missing to deliver some times different orders are delivered,deliver,0
"Would love the ability to “un-delete” deleted tasks from the app in an easy to find menu option. 
",tasks,"Would love the ability to undelete deleted tasks from the app in an easy to find menu option 
",tasks,1
please add this basic feature,Please,please add this basic feature,Please,2
so i wanted to download the app.,app,so i wanted to download the app,app,0
"-&gt; i want to learn for the future whether we as a team did something wrong (whether a teammate accidently deleted the file -&gt; therefore it would be good to get the mailadress of ""kaiser""), or we got hacked, or whether there was a failure in the notion system.",learn,gt i want to learn for the future whether we as a team did something wrong whether a teammate accidently deleted the file gt therefore it would be good to get the mailadress of kaiser or we got hacked or whether there was a failure in the notion system,learn,1
the desktop version is simply awesome comparatively.,desktop version,the desktop version is simply awesome comparatively,desktop version,2
"app must support androids ""multi-window"" api to would better on tablets and resize the app on the screen.",Androids,app must support androids multiwindow api to would better on tablets and resize the app on the screen,Androids,0
prompt and reliable service,Prompt,prompt and reliable service,Prompt,2
ensure customers are getting delivery everyday or inform them in advance in case of delivery failure.,delivery,ensure customers are getting delivery everyday or inform them in advance in case of delivery failure,delivery,0
"the ease of ordering, timely delivery and best part can use the vacation option when not home.a suggestion.should increase the variety of products sold.","ease of ordering,",the ease of ordering timely delivery and best part can use the vacation option when not homea suggestionshould increase the variety of products sold,ease of ordering,2
you can go to the exported tab to see only the exported videos,exported,you can go to the exported tab to see only the exported videos,exported,1
"so, you can use 10 istock media only in a month",iStock,so you can use 10 istock media only in a month,iStock,1
"Just used the app for 5 mins on iOS 13 and: crashed once, date selection is impossible as all options are seemingly using white font on white background, the app doesn’t look so good in dark mode (is this the reason for the white on white UI issue?)

",UI,"Just used the app for 5 mins on iOS 13 and crashed once date selection is impossible as all options are seemingly using white font on white background the app doesnt look so good in dark mode is this the reason for the white on white UI issue

",UI,0
i thought linked databases were my favourite feature of @notionhq.,databases,i thought linked databases were my favourite feature of ,databases,1
there is no difference between you and the regular milkman who infacts charges 66% less delivery charges.,delivery charges.,there is no difference between you and the regular milkman who infacts charges 66 less delivery charges,delivery charges,0
items missing is not logical for all the locations.,Items missing,items missing is not logical for all the locations,Items missing,0
it is a wonderful app,app,it is a wonderful app,app,2
i can look into this for you - could you share the url or name of the page?,share,i can look into this for you  could you share the url or name of the page,share,1
"sometimes, entries in all databases disappear and i have to restart the app to be able to load data again.",time,sometimes entries in all databases disappear and i have to restart the app to be able to load data again,time,0
we see you have used our 14 day trial and did not cancel the subscription from your side and were thus charged.,cancel,we see you have used our 14 day trial and did not cancel the subscription from your side and were thus charged,cancel,0
"I have increased it using my browser but the layout is generally broken all around, is there a native way to do it?",layout,I have increased it using my browser but the layout is generally broken all around is there a native way to do it,layout,0
doens't start only,Doens't,doenst start only,Doenst,2
"hello, i recently purchased the business plan with a 50% off promo code for the year",Business plan,hello i recently purchased the business plan with a 50 off promo code for the year,Business plan,1
"but its not entirely optimised for android i suppose, as there are many bugs.",android,but its not entirely optimised for android i suppose as there are many bugs,android,0
I have added that domain to that workspace on my end.,workspace,I have added that domain to that workspace on my end,workspace,1
how do i even know what i get in my plan?,plan?,how do i even know what i get in my plan,plan,1
"I love the program, only in the mobile and iPad app the filter view doesn’t work as practical as in the desktop version.",filter,I love the program only in the mobile and iPad app the filter view doesnt work as practical as in the desktop version,filter,0
no option of a delivery time after 7am,option of a delivery,no option of a delivery time after 7am,option of a delivery,0
i uoload can remove the background,background,i uoload can remove the background,background,1
it would be a lot better if it was more of an offline app.,offline app.,it would be a lot better if it was more of an offline app,offline app,0
"also, the membership ""professional"" which I am on, no longer exists.",membership,also the membership professional which I am on no longer exists,membership,0
it lags only that is the big issue,lags,it lags only that is the big issue,lags,0
notion has become what evernote could not.,note,notion has become what evernote could not,note,2
The app is nice but there is a nuisance as follows WHY I STILL APPLICATE MAIL,MAIL,The app is nice but there is a nuisance as follows WHY I STILL APPLICATE MAIL,MAIL,0
it does load correctly in incognito,load,it does load correctly in incognito,load,0
i try to import large amount of notes from evernote.,notes,i try to import large amount of notes from evernote,notes,0
punctuality as well keeing update.,Punctuality,punctuality as well keeing update,Punctuality,2
